Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
lookup,2.9465753837466086e-4,2.9443077844061615e-4,2.9487234107689606e-4,7.584549691024242e-7,6.436492634795566e-7,9.376973850916068e-7
insert,2.528551985576528e-4,2.524534277525197e-4,2.5314794351769145e-4,1.2041803959217865e-6,9.213572412167153e-7,1.6652479747008608e-6
insertWith empty,2.6850698718497955e-4,2.6821503515330684e-4,2.687741959008195e-4,9.771927205061329e-7,7.509250238189804e-7,1.2900830177822826e-6
insertWith update,1.1888596695236423e-3,1.1870647935797306e-3,1.1901546893587254e-3,5.096276670345142e-6,3.921856839370893e-6,7.486163767945111e-6
insertWith' empty,2.755988875741689e-4,2.752580612078373e-4,2.7584957414603263e-4,1.0400220885722303e-6,7.705473714637208e-7,1.4361714402719817e-6
insertWith' update,1.0402731776818375e-3,1.0390285927343442e-3,1.0411858694828824e-3,3.7953822259046684e-6,3.0783309615902255e-6,5.013717908261384e-6
insertWithKey empty,2.6604758194335434e-4,2.657057278879385e-4,2.6644253117461014e-4,1.2296851539641063e-6,8.957521021445139e-7,1.9257845792114054e-6
insertWithKey update,1.186138970693982e-3,1.1844737610215174e-3,1.1874246929632407e-3,5.328036335677688e-6,4.140838482301119e-6,7.36178976303256e-6
insertWithKey' empty,2.6990655562163587e-4,2.6952653380823505e-4,2.70188924774961e-4,1.1190525198717013e-6,8.424207817662382e-7,1.5176825208119217e-6
insertWithKey' update,1.0316343024623091e-3,1.0305083435107236e-3,1.0326913518900833e-3,3.7699230111110992e-6,2.9649113330442025e-6,4.999040146145492e-6
insertLookupWithKey empty,1.0230621011915815e-3,1.0218694129089719e-3,1.024068892301046e-3,3.869791672064432e-6,3.1208904779248754e-6,4.79028997883821e-6
insertLookupWithKey update,2.4708891475326102e-3,2.467938113377393e-3,2.4737473029892583e-3,1.0144327510136686e-5,7.939800797764727e-6,1.3327733252375535e-5
map,8.116317578943296e-5,8.109933000844266e-5,8.121648174390923e-5,1.9771681373841765e-7,1.6082220969854807e-7,2.5029257917783153e-7
mapWithKey,9.061842262255496e-5,9.054370178422427e-5,9.068869075115077e-5,2.4475452720306564e-7,2.1408303429588305e-7,2.8503407072933634e-7
foldlWithKey,9.449200076345481e-4,9.436769738911426e-4,9.458980025787514e-4,3.5000883126574082e-6,2.798823284722466e-6,4.735672260565354e-6
foldlWithKey',2.3914317683661595e-5,2.3776835947130183e-5,2.4075452687335648e-5,5.011176254849242e-7,4.371627106853024e-7,5.828939871639652e-7
foldrWithKey,4.580487580637702e-8,4.5766081615345624e-8,4.5855432449903265e-8,1.5454969235744579e-10,1.1059228228754268e-10,2.1711835485345654e-10
delete,2.0704309712712182e-4,2.0700087357089736e-4,2.0707910449066627e-4,1.3636445563451264e-7,1.1399775048859922e-7,1.717614486739109e-7
update,9.163433748670121e-4,9.152783845340602e-4,9.170635816899361e-4,2.919552450119166e-6,2.260009691035827e-6,3.8398795047134445e-6
updateLookupWithKey,1.56627359227157e-3,1.5647193827393125e-3,1.5677749513726984e-3,5.2852219560799305e-6,4.359173363891237e-6,6.432982803155335e-6
alter,1.0268078731617046e-3,1.0255355776785167e-3,1.0277040034968189e-3,3.435946377091396e-6,2.6249097748448727e-6,4.57475878386922e-6
mapMaybe,1.3094923920108572e-4,1.3088843824882057e-4,1.310099620862919e-4,2.1655408994231272e-7,1.738360684386494e-7,2.7262312866527946e-7
mapMaybeWithKey,1.3088567806807057e-4,1.3082221958473177e-4,1.309522512326167e-4,2.2316320985488427e-7,1.8902734903615662e-7,2.7061222937623716e-7
fromList,2.5009699697530667e-4,2.497928945303332e-4,2.503245556248522e-4,8.804358115644648e-7,6.773827334322599e-7,1.2460020229399827e-6
fromAscList,1.8199038207800295e-4,1.8158809802789323e-4,1.824184717371862e-4,1.4535115885207989e-6,1.1994132896010803e-6,1.7146223981531556e-6
fromDistinctAscList,1.025638949635739e-4,1.0252017282051563e-4,1.0260695871860991e-4,1.506707196943549e-7,1.2554735638077487e-7,1.8626879765546868e-7
minView,6.483900754327193e-8,6.48291297549625e-8,6.48505814347049e-8,3.712667985681344e-11,3.051872193774127e-11,4.931761538894824e-11
